artist,birth_year,death_year,total,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
A R Ralf Winkler Penck,1939,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallah Benanteur,1931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ad Reinhardt,1913,1967,193,1,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Adolph Gottlieb,1903,1974,261,4,1,1,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0
Afro,1912,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnes Bernice Martin,1912,2004,167,2,0,1,1,1,2,7,1,0,0,1,0,0,0,1,1,0,0,0,0
Agostino Bonalumi,1935,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akira Kito,1925,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al Held,1928,2005,106,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alain Jacquet,1939,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Davie,1920,2014,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Bitran,1931,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Chaminade,1923,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Burri,1915,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Magnelli,1888,1971,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Alex Katz,1927,,155,1,1,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Sandy Calder,1898,1976,331,6,2,3,2,2,2,3,0,0,0,1,0,0,1,1,0,0,0,0,0
Alexandre Alecos Fassianos,1935,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Istrati,1915,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Sacha Garbell,1903,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfonso A Ossorio,1916,1990,45,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred Jensen,1903,1981,56,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfred Leslie,1927,,105,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Alfred Manessier,1911,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Neel,1900,1984,109,3,1,0,3,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0
Alighiero E Boetti,1940,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan D'Arcangelo,1930,1998,40,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Jones,1937,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anatoly Timofeivich Zverev,1931,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Bauchant,1873,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Beaudin,1895,1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Cottavoz,1922,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Hambourg,1909,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Lanskoy,1902,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Maire,1898,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Marfaing,1925,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Masson,1896,1987,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Andre Pierre Arnal,1938,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andree Pollier,1916,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Warhol,1928,1987,510,2,4,4,5,2,5,3,2,0,1,2,0,0,0,0,0,0,0,0,0
Angel Alonso,,,510,2,4,4,5,2,5,3,2,0,1,2,0,0,0,0,0,0,0,0,0
Anne Dean Truitt,,,510,2,4,4,5,2,5,3,2,0,1,2,0,0,0,0,0,0,0,0,0
