"x"
"A R (Ralf Winkler) Penck"
"Ad Reinhardt"
"Adolph Gottlieb"
"Agnes Bernice Martin"
"Agostino Bonalumi"
"Al Held"
"Alain Jacquet"
"Alan Davie"
"Albert Bitran"
"Alex Katz"
"Alexander (Sandy) Calder"
"Alexandre (Alecos) Fassianos"
"Alexandre Istrati"
"Alexandre Sacha Garbell"
"Alfred Jensen"
"Alfred Manessier"
"Alice Neel"
"Allan D'Arcangelo"
"Andre Bauchant"
"Andre Beaudin"
"Andre Cottavoz"
"Andre Lanskoy"
"Andre Marfaing"
"Andre Masson"
"Andree Pollier"
"Andy Warhol"
"Anne Dean Truitt"
"Anselm Kiefer"
"Antal Biro"
"Antoni Clave Sanmartin"
"Antoni Tapies"
"Antonio Recalcati"
"Antonio Saura"
"Antonio Segui"
"Aristide Caillaud"
"Armand Pierre Arman"
"Arpad Szenes"
"Asger Jorn"
"Atila"
"Avigdor Arikha"
"Avni Arbas"
"Batta Mihailovitch"
"Ben Vautier"
"Bengt Lindstrom"
"Bernard Buffet"
"Bernard Dufour"
"Bernard Piga"
"Bernard Quentin"
"Bernard Rancillac"
"Bernard Requichot"
"Brice Marden"
"Camille Bryen"
"Chafik Abboud"
"Charles Hossein Zenderoudi"
"Charles Lapicque"
"Charles Marcon"
"Claude Bellegarde"
"Claude Georges"
"Claude Viallat"
"Conrad Marca-Relli"
"Constantin Georges Macris"
"Dan Christensen"
"David Hockney"
"David Lan-Bar"
"Denise Dobin"
"Dikran Daderian"
"Djoka Ivackovic"
"Ed Ruscha"
"Edgar Pillet"
"Edouard Pignon"
"Edouardo Arroyo"
"Eduardo Jonquieres"
"Ellsworth Kelly"
"Elvire Jan Kouyoumjian"
"Emilio Grau-Sala"
"Enrico Castellani"
"Ernst Wilhelm Nay"
"Eugne Leroy"
"Ezekiel Baroukh"
"Fateh Moudarres"
"Felix Labisse"
"Ferit Iscan"
"Fernando Botero"
"Francis Bacon"
"Francisco Lopez"
"Francois Arnal"
"Francois Charles Alexis Albert Morellet"
"Frank Helmut Auerbach"
"Frank Stella"
"Franz Josef Kline"
"Frederic Benrath"
"Friedel Dzubas"
"Gaston Chaissac"
"Gene Davis"
"Genevieve Asse"
"Genevieve Claisse"
"Georg Kern Baselitz"
"Georges Anatolievich Pogedaieff"
"Georges Mathieu"
"Gerard Ernest Schneider"
"Gerard Guyomard"
"Gerard Schlosser"
"Gerardo Chavez Lopez"
"Gerhard Richter"
"Gianni Bertini"
"Gilles Aillaud"
"Gudmundur Erro"
"Guillaume Corneille"
"Gustave Singier"
"Hajime Kato"
"Hans Hartung"
"Hans Hofmann"
"Heinz Mack"
"Helen Frankenthaler"
"Henri Bernard Goetz"
"Henri Hayden"
"Henri Michaux"
"Herve Telemaque"
"Hisao Domoto"
"Horia Damian"
"Huguette Arthur Bertrand"
"Ilya Bolotowsky"
"Ivan Messac"
"Jack Hamilton Bush"
