"","auction_house","city","idd","exhibition","artist","title","price","sold","avg_estimate","area","year_created","auction_lot","auction_date","rate_sold_before","avg_price_sold_before","num_artworks","avg_price_sold","num_artists","sale_rate","volatility_before","volatility","skew_before","skew","medium","artist_median_price","artist_volume","artist_lots_sold","lot_position","caliber"
"1","Auctionata Inc.","New York","9412a3e5188942a7a3fad89823da32c3","post-war & contemporary art 06/10/2016","Sandro Chia","Untitled",4002,1,3027,4610.0581,1979,0.655844155844156,"06/10/2016",0.28125,876,1,1583,35,0.319148936170213,1047.75323407097,2035.28068061604,2.06268959837497,1.91422561334853,"oil / canvas",26600,13,0.684210526315789,"Medium","Small"
"2","Auctionata Inc.","New York","7c610678136247058dec25b23812f4a9","post-war & contemporary art 06/10/2016","Robert Smithson","Untitled",0,0,469,423.7536,1961,0.785714285714286,"06/10/2016",0.30952380952381,1202,1,1583,35,0.319148936170213,1250.08006844154,2035.28068061604,1.29544084475758,1.91422561334853,"ink / paper",20461,15,0.681818181818182,"Late","Small"
"3","Auctionata Inc.","New York","fcfb2d7c9ca043eea967fef90065cde9","post-war & contemporary art 06/06/2015","Larry Rivers","Post Cards",0,0,6316,231,1960,0.242424242424242,"06/06/2015",0.333333333333333,11138,1,22382,25,0.259259259259259,6922.47065721481,30171.2725239471,1.11386272112408,1.89130900973615,"oil / paper on board",26463,84,0.666666666666667,"Early","Small"
"4","Auctionata Inc.","New York","2badd3f058ba4adba9df4138db0bbeb6","post-war & contemporary art 06/06/2015","Lester Frederick Johnson","Spring Still Life 1965",0,0,9475,1848,1965,0.23030303030303,"06/06/2015",0.4,11138,1,22382,25,0.259259259259259,6922.47065721481,30171.2725239471,1.11386272112408,1.89130900973615,"oil / canvas",10326.5,14,0.875,"Early","Small"
"5","Auctionata Inc.","New York","54bf52f32f194ce48b14081d1688fcee","post-war & contemporary art 10/27/2016","Robert Smithson","Untitled",0,0,9561,423.87,1961,0.563636363636364,"10/27/2016",0.318181818181818,21231,1,12419,26,0.340909090909091,23208.9554320072,17904.2476338251,0.936953425196821,2.05612707677188,"ink / paper",20461,15,0.681818181818182,"Medium","Small"
"6","Bonhams Bond Street","London","0d795de4eedf4ec1b3728b8d9a280277","contemporary art and design 10/11/2012","Victor Vasarely","Oltar-BMB",792,1,15221,2071.4076,1972,0.202898550724638,"10/11/2012",0.714285714285714,8733,1,6179,47,0.666666666666667,9909.93789082454,15045.0248837559,2.23422328313811,4.99748534051253,"acrylic / canvas",7079,107,0.798507462686567,"Early","Medium"
"7","Bonhams Bond Street","London","7410ad20ae2c4868914738d16d64d374","post-war & contemporary art 07/01/2015","Allen Jones","Portrait of Barbara 1957",8979,1,7363,604.8096,1957,0.534883720930233,"07/01/2015",0.761904761904762,18347,2,12791,30,0.783783783783784,21255.0317204539,16927.3116842611,1.44994855310493,2.37637502970505,"oil / canvas",7038,17,0.772727272727273,"Medium","Medium"
"8","Bonhams Bond Street","London","8db5513e05f24ea690c3f3e1cc335a49","post-war & contemporary art 07/01/2015","Serge Poliakoff","Composition abstraite 1955",1368,1,89453,1255.5093,1955,0.627906976744186,"07/01/2015",0.8,16036,1,12791,30,0.783783783783784,19524.7809910892,16927.3116842611,1.79736899531503,2.37637502970505,"oil / canvas",42003,42,0.763636363636364,"Medium","Medium"
"9","Bonhams Bond Street","London","e713dc13b17542038107c68bf7cf6768","post-war & contemporary art 07/01/2015","Arnulf Rainer","... Strahlung (radiation) 1970",1621,1,3494,435.3294,1970,0.651162790697674,"07/01/2015",0.807692307692308,15337,1,12791,30,0.783783783783784,19283.8928593146,16927.3116842611,1.86203232069046,2.37637502970505,"oilstick on photograph",8609,14,0.933333333333333,"Medium","Medium"
"10","Bonhams Bond Street","London","9b124e90ce994b6299e5bde073580571","post-war & contemporary art 07/01/2015","Valerio Adami","Longchamp 1967",5747,1,6789,1263.3833,1967,0.813953488372093,"07/01/2015",0.774193548387097,13853,1,12791,30,0.783783783783784,18430.458938037,16927.3116842611,2.06555462065361,2.37637502970505,"acrylic / canvas",4165.5,16,0.941176470588235,"Late","Medium"
"11","Bonhams Bond Street","London","b459e54308dd473588411db232026d3e","contemporary one 02/13/2012","Wou-Ki Zao","Untitled",0,0,9782,25.61,1953,0.05,"02/13/2012",0,0,1,26278,18,0.526315789473684,0,25790.4618221543,0,0.887823146452684,"ink / paper",69146.5,26,0.896551724137931,"Early","Medium"
"12","Bonhams Bond Street","London","8b5e617ab71c400385daef597824cc2a","contemporary one 02/13/2012","Victor Vasarely","Canopus 1/1",0,0,57400,3099.9938,1959,0.2,"02/13/2012",0.25,8353,1,26278,18,0.526315789473684,0,25790.4618221543,0,0.887823146452684,"acrylic / canvas",7079,107,0.798507462686567,"Early","Medium"
"13","Bonhams Bond Street","London","123f842cfe174730934daeb2ebafda5b","post-war & contemporary art 3/7/2018","Frank Helmut Auerbach","Birth Marriage Death",97531,1,80226,3460.5615,1951,0.155555555555556,"03/07/2018",0.857142857142857,51688,3,25196,38,0.866666666666667,51161.1957987258,33384.6558844136,0.766722419045185,1.92899846527626,"oil on panel laid to board",67179,68,0.781609195402299,"Early","Medium"
"14","Bonhams Bond Street","London","ebbb067dc8354d0a929fb2c5b60a5e96","post-war & contemporary art 3/7/2018","Hans Hartung","T1971-E19",2043,1,4404,562.4418,1971,0.311111111111111,"03/07/2018",0.857142857142857,42639,1,25196,38,0.866666666666667,46555.4288739658,33384.6558844136,0.877176391155381,1.92899846527626,"acrylic / canvas",10667,26,0.764705882352941,"Early","Medium"
"15","Bonhams Bond Street","London","9d8a724e69604e10ad04a57040603bbe","post-war & contemporary art 3/7/2018","Serge Poliakoff","Composition abstraite 1966",56235,1,16676,1040.9628,1966,0.333333333333333,"03/07/2018",0.866666666666667,39516,1,25196,38,0.866666666666667,46001.5501668311,33384.6558844136,0.990084627857613,1.92899846527626,"oil / canvas",42003,42,0.763636363636364,"Early","Medium"
"16","Bonhams Bond Street","London","1617fca57248466eba745cc8de45cb4b","post-war & contemporary art 3/7/2018","Toshimitsu Imai","Untitled",18251,1,7550,9168.558,1977,0.466666666666667,"03/07/2018",0.857142857142857,39476,1,25196,38,0.866666666666667,43360.0909126194,33384.6558844136,0.9456641947001,1.92899846527626,"acrylic / canvas",8223,11,0.846153846153846,"Medium","Medium"
"17","Bonhams Bond Street","London","146ec337133e4aa0b08f83221f14fc92","post-war & contemporary art 3/7/2018","Victor Vasarely","V.P. 103",2043,1,5159,576.9604,1979,0.8,"03/07/2018",0.828571428571429,29043,1,25196,38,0.866666666666667,37030.5724513692,33384.6558844136,1.60987594806584,1.92899846527626,"acrylic / board",7079,107,0.798507462686567,"Late","Medium"
"18","Bonhams Bond Street","London","975a75ad6c664b53b66295e19ecfa6d2","post war and contemporary art 09/23/2009","Roberto Matta","Untitled 1974",2989,1,4519,2534.4945,1974,0.602941176470588,"09/23/2009",0.346153846153846,2106,1,2660,35,0.384615384615385,2523.94308401715,2543.23419291264,1.49301849771102,1.02436919502776,"oil / canvas",8676,23,0.741935483870968,"Medium","Medium"
"19","Bonhams Bond Street","London","e035aaca9b6447b1ae341494a38f73b4","post-war & contemporary art 07/02/2014","Lucio Fontana","Concetto Spaziale",202831,1,67756,731.745,1952,0.0961538461538462,"07/02/2014",0.4,7681,2,25995,35,0.590909090909091,855,40092.139581382,0,2.90596084120268,"oil / canvas",62160,221,0.81549815498155,"Early","Medium"
"20","Bonhams Bond Street","London","a8c80737f15c4681be1abcbc5e92563a","post-war & contemporary art 07/02/2014","On Kawara","June 10 1967 (from Today series No.101)",77115,1,86600,129.9,1967,0.211538461538462,"07/02/2014",0.636363636363636,35950,1,25995,35,0.590909090909091,65029.548166152,40092.139581382,1.98826800451289,2.90596084120268,"acrylic / canvas",46087.5,22,0.916666666666667,"Early","Medium"
"21","Bonhams Bond Street","London","dc66bac1235643599e346b5bc6fbc8c2","post-war & contemporary art 6/27/2018","Jean Dubuffet","Corps de Dame 1950",5294,1,3743,89.0945,1950,0.0810810810810811,"06/27/2018",0.666666666666667,48967,3,55322,31,0.789473684210526,40365,159833.759144723,0,4.92477708667501,"ink / paper",38518,147,0.82122905027933,"Early","Medium"
"22","Bonhams Bond Street","London","8ac47129c9d747d4be1ba46267574443","contemporary art and design 10/11/2012","Piero Dorazio","Hooked",2172,1,9774,135.5952,1968,0.0869565217391304,"10/11/2012",0.5,15857,1,6179,47,0.666666666666667,15489.925758376,15045.0248837559,0.68223527156919,4.99748534051253,"oil / canvas",7190,28,0.96551724137931,"Early","Medium"
"23","Bonhams Bond Street","London","2d1e874ab0b04b4a9f3f301dd7d98ee9","post-war and contemporary art 02/12/2015","Valerio Adami","L'arena dei galli",0,0,4457,4528.7925,1969,0.0666666666666667,"02/12/2015",0.666666666666667,20020,1,19459,32,0.789473684210526,12275,26514.7071054705,0,1.68060750167582,"acrylic / canvas",4165.5,16,0.941176470588235,"Early","Medium"
"24","Bonhams Bond Street","London","9f8d1790009f43ccb4fab4613df29ca9","post-war and contemporary art 02/12/2015","Sam Lewis Francis","My bones are 100 years old",5865,1,5860,733.5279,1963,0.555555555555556,"02/12/2015",0.75,32124,2,19459,32,0.789473684210526,32806.4238966835,26514.7071054705,0.718142399053681,1.68060750167582,"ink / paper",7401,144,0.857142857142857,"Medium","Medium"
"25","Bonhams Bond Street","London","7bd32f61ef1a49aaaf01cf861fa603fa","post-war and contemporary art 02/12/2015","Luc Tuymans","Self-Portrait",8712,1,87901,1240.155,1977,0.733333333333333,"02/12/2015",0.703703703703704,26229,1,19459,32,0.789473684210526,31048.6933898809,26514.7071054705,1.07902778921913,1.68060750167582,"oil / canvas",17308,16,0.761904761904762,"Late","Medium"
"26","Bonhams Bond Street","London","993ae28a9b4543ba9f6c7b4571c40760","contemporary art and design 06/27/2013","Hans Hartung","T1976-E5",0,0,4120,1131.4938,1976,0.277777777777778,"06/27/2013",0.611111111111111,4404,1,7544,44,0.724137931034483,2697.79126063349,13931.6716477526,-0.246179758579177,3.33483299687262,"acrylic / canvas",10667,26,0.764705882352941,"Early","Medium"
"27","Bonhams Bond Street","London","b2da4b9cd283429aa677f6d1284bb3e9","contemporary art and design 06/27/2013","Armand Pierre Arman","Untitled",75,1,1608,1098.4632,1978,0.875,"06/27/2013",0.714285714285714,7896,6,7544,44,0.724137931034483,14196.2267379179,13931.6716477526,3.24513987399138,3.33483299687262,"acrylic / paper",5604.5,80,0.707964601769911,"Late","Medium"
"28","Bonhams Bond Street","London","21a3584cb9f442c6a7a407cd891e41b4","post-war & contemporary art 02/11/2016","Asger Jorn","Voyageur l'ne",10351,1,7088,465.0778,1957,0.625,"02/11/2016",0.758620689655172,60768,1,49286,29,0.787234042553192,198542.009550116,157787.321112539,4.17681160620026,5.17608467141149,"oil / canvas",7228,23,0.71875,"Medium","Medium"
"29","Bonhams Bond Street","London","efeb3a13f41f413eb864eea95abd40f8","post-war & contemporary art 3/8/2017","Anselm Kiefer","Untitled - Soldat (Sol invictus Heliogabal)",55862,1,28559,874.44,1974,0.478260869565217,"03/08/2017",0.818181818181818,23193,1,19426,50,0.863636363636364,27982.9970616834,23919.643931398,1.07725847888771,1.38285305307736,"oil / burlap",40817,95,0.863636363636364,"Medium","Medium"
"30","Bonhams Bond Street","London","cfa2d76945f247acbe4c0afa0afa84fc","post-war & contemporary art 3/8/2017","Victor Vasarely","Alom-2",58098,1,28559,6199.9876,1967,0.521739130434783,"03/08/2017",0.833333333333333,23633,2,19426,50,0.863636363636364,27365.9900464467,23919.643931398,1.0320826436945,1.38285305307736,"acrylic / canvas",7079,107,0.798507462686567,"Medium","Medium"
