artist,birth_year,death_year
Lucio Fontana,1899,1968
Ludwig Sander,1906,1975
Luigi Boille,1926,2015
Luis Feito Lpez,,
Manoucher Yektai,,
Manuel Cargaleiro,,
Marc Devade,,
Marc Janson,,
Marcel Mouly,,
Marcel Pouget,,
Marcelle Loubchansky,,
Maria Helena Vieira Da Silva,,
Mariano Carrera,,
Mario Prassinos,,
Mark Rothko,,
Mark Tobey,,
Martin Barre,,
Martin Bradley,,
Maurice Esteve,,
Max Papart,,
Michael Goldberg,,
Michel Macreau,,
Michel Seuphor,,
Milton Resnick,,
Miodrag Djuric Dado,,
Morris Louis,,
Nasser Assar,,
Natalia Dumitresco,,
Naum Zeitlin,,
Nejad Melih Devrim,,
Nicolas De Stael,,
Norman Bluhm,,
Olivier Debre,,
Olivier Mosset,,
Orhon Mubin,,
Oscar Gauthier,,
Pablo Picasso,,
Paul Jenkins,,
Paul Kallos,,
Paul Rebeyrolle,,
Paul S Foujino,,
Peter Klasen,,
Peter Saul,,
Philip Guston,,
Philip Pearlstein,,
Philippe Hosiasson,,
Piero Dorazio,,
Pierre Alechinsky,,
Pierre Dmitrienko,,
Pierre Lagage,,
Pierre Soulages,,
Pierre Tal-Coat,,
Pinchas Burnstein Maryan,,
Raymond Abner,,
Raymond Moisset,,
Raymond Parker,,
Ren Duvillier,,
Ren Laubies,,
Richard Anuszkiewicz,,
Richard Artschwager,,
Richard Diebenkorn,,
Richard Lindner,,
Richard Pettibone,,
Richard Pousette-Dart,,
Robert Burns Motherwell,,
Robert E Clark Indiana,,
Robert Malaval,,
Robert Natkin,,
Robert Ryman,,
Roberto Matta,,
Roger Bissiere,,
Roger Edgar Gillet,,
Roman Opalka,,
Roy Lichtenstein,,
Sakti Burman,,
Sam Gilliam Jr,,
Sam Lewis Francis,,
Sam Szafran,,
Serge Charchoune,,
Serge Poliakoff,,
Simon Hantai,,
Sol LeWitt,,
Suzanne Roger,,
Syed Haider Raza,,
Teh-Chun Chu,,
Thanos Tsingos,,
Theodoros Stamos,,
Thomas Downing,,
Tom Wesselmann,,
Toshimitsu Imai,,
Turan Selim,,
Turi Simeti,,
Valerio Adami,,
Victor Laks,,
Victor Vasarely,,
Vladimir Velickovic,,
Wayne Thiebaud,,
Wifredo Oscar de la Concepcion Lam,,
Willem de Kooning,,
William Nelson Copley,,
Wojcieck Voy Fangor,,
Wou-Ki Zao,,
Yannis Gaitis,,
Yayoi Kusama,,
Zoran Antonio Music,,
