city,auction_house,exhibition,image_url,artist,title,price,low_estimate,signature,size,created,auction_lot,auction_date,medium
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/101_1.jpg,Ellsworth Kelly,"PRELIMINARY STUDY FOR ""WALL","$100,000","$100,000","$150,000",Unavailable,"10.25"" x 9.00",1955,101,11/15/2018,paper collage / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/102_1.jpg,Agnes Bernice Martin,UNTITLED,"$306,250","$150,000","$200,000",Unavailable,"11.00"" x 11.00",1965,102,11/15/2018,Ink and graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/103_1.jpg,Brice Marden,COUPLET PAINTING STUDY II,"$1,455,000","$500,000","$700,000",Signed and Dated,"22.25"" x 10.13",1987-88,103,11/15/2018,Gouache and ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/104_1.jpg,Sherrie Levine,UNTITLED (LEAD CHECKS/LEAD CHEVRON,"$375,000","$150,000","$200,000",Signed and Dated,"40.25"" x 20.00",1988,104,11/15/2018,Casein and lead / Panel
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/105_1.jpg,Carl Andre,STILLANOVNORTHPOIN (FROM STILLANOVEL MISC. ORGINALS),"$20,000","$8,000","$12,000",Signed and Dated,"11.00"" x 8.50",1972,105,11/15/2018,typewriter ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/106_1.jpg,Carl Andre,NORTHPOINEADWEARDJMRSFLORASFORMERSENMAJORHENRMRWIRTWPESENATORST(FROM STILLANOVEL MISC. ORIGINALS),"$22,500","$8,000","$12,000",Signed and Dated,"11.00"" x 8.50",1972,106,11/15/2018,typewriter ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/107_1.jpg,Robert Ryman,UNTITLED,"$675,000","$700,000","$1,000,000",Signed and Dated,"24.00"" x 24.00",1986,107,11/15/2018,Acrylic on fiberglass. two round bolts and graphite on wall
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/108_1.jpg,Gerhard Richter,"SPIEGEL, BLUTROT","$663,000","$600,000","$800,000",Signed and Dated,"37.50"" x 37.50",1991,108,11/15/2018,Color coated glass
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/109_1.jpg,Sol LeWitt,WALL DRAWING NO. 12A,"$362,500","$200,000","$300,000",Unavailable,Dimensions not available,1998,109,11/15/2018,Colored Pencil on wall
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/110_1.jpg,Ellsworth Kelly,UNTITLED,"$225,000","$200,000","$300,000",Signed and Dated,"28.75"" x 22.50",1960,110,11/15/2018,Watercolor and ink and graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/111_1.jpg,James Bishop,UNTITLED,"$47,500","$30,000","$40,000",Signed and Dated,"21.63"" x 22.00",1968,111,11/15/2018,Oil / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/112_1.jpg,Ellsworth Kelly,TROPICAL PLANT,"$312,500","$70,000","$100,000",Unsigned,"18.00"" x 24.13",1981,112,11/15/2018,Ink / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/113_1.jpg,Rosemarie Trockel,UNTITLED,"$112,500","$100,000","$150,000",Signed and Dated,"31.75"" x 32.50",2003-04,113,11/15/2018,wool / Cardboard
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/114_1.jpg,Jenny Holzer,BLUE AND ARNO,"$52,500","$20,000","$30,000",Signed and Dated,"57.50"" x 5.00"" x 5.25",1999,114,11/15/2018,LED sign
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/115_1.jpg,Jenny Holzer,SELECTION FROM THE LIVING SERIES,"$62,500","$50,000","$70,000",Unavailable,"17.00"" x 35.63"" x 17.75",1989,115,11/15/2018,Bethel white granite
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/116_1.jpg,Richard Tuttle,UNTITLED (3),"$56,250","$50,000","$70,000",Unavailable,Dimensions not available,1983,116,11/15/2018,"Wood , acrylic, paper, staples, foil and styrofoam"
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/117_1.jpg,Louise Bourgeois,SPIDER,"$137,500","$50,000","$70,000",Signed Initials,"11.50"" x 11.75",1994,117,11/15/2018,Ink and crayon / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/118_1.jpg,Bruce Nauman,UNTITLED,"$93,750","$50,000","$70,000",Signed and Dated,"22.00"" x 29.88",1993,118,11/15/2018,graphite / Paper
New York,Sotheby's New York,contemporary art day auction 11/15/2018,http://www.askart.com/Photos/2018/SNY20181115_114525/119_1.jpg,Sol LeWitt,"THE LOCATION OF A BLUE SQUARE, A RED PARALLELOGRAM, AND A YELLOW PARALLELOGRAM","$37,500","$15,000","$20,000",Signed and Dated,"12.50"" x 12.50",1976,119,11/15/2018,Ink and graphite / Paper
